name,kinds
M6,masinska laptop
M5,masinska laptop
M4,masinska laptop
M3,masinska laptop
M2,masinska laptop
M1,masinska laptop
Sala,sala
Sala,sala
23,computer laptop regular vjezbe
22,regular
21,regular
20,regular
19,regular
18,regular
17,regular
16,regular
15,regular
14,computer laptop vjezbe
13,regular
12,regular
11,regular
10,computer laptop
9,computer laptop
8,computer laptop
7,computer laptop
6,regular
5,regular
4,regular
3,regular
2,computer laptop
1,computer laptop
