shift,teacher,subject,class,per_week_first,per_week_second
2,54,58,27,3,
2,54,58,29,3,
2,54,58,30,3,
2,55,58,21,3,
2,55,58,23,3,
2,56,58,20,3,
2,56,58,17,3,
2,57,58,28,3,
2,57,58,32,3,
2,58,58,31,3,
1,58,58,16,3,
2,58,58,19,3,
2,58,58,22,3,
2,60,59,24,2,
2,60,59,25,2,
1,63,59,16,2,
2,63,59,17,2,
2,63,59,22,2,
2,63,59,23,2,
2,63,59,26,2,
2,63,59,27,2,
2,63,59,28,2,
2,63,59,29,2,
2,64,59,19,2,
2,64,59,20,2,
2,64,59,21,2,
2,64,59,30,2,
2,64,59,31,2,
2,64,59,32,2,
2,65,89,19,2,
2,65,89,21,2,
1,67,60,16,2,
2,67,60,17,2,
2,67,60,19,2,
2,67,60,20,2,
2,67,60,21,2,
2,67,60,22,2,
2,67,60,23,2,
1,69,61,16,2,
2,69,61,17,2,
2,69,61,19,2,
2,69,61,20,2,
2,69,61,21,2,
2,69,61,22,2,
2,69,61,23,2,
2,70,62,29,2,
2,71,62,24,2,
2,71,62,25,2,
2,71,62,26,2,
2,71,62,27,2,
2,71,62,28,2,
2,71,62,30,2,
2,71,62,31,2,
2,71,62,32,2,
2,73,63,24,2,
2,73,63,25,2,
2,73,63,26,2,
2,73,63,27,2,
2,73,63,28,2,
2,73,63,29,2,
2,73,63,30,2,
2,73,63,31,2,
2,73,63,32,2,
2,97,64,25,3,
2,75,64,19,3,
2,75,64,23,3,
2,75,64,26,3,
2,75,64,27,3,
2,75,64,28,3,
2,76,64,20,3,
2,76,64,22,3,
2,76,64,24,3,
2,76,64,29,3,
2,76,64,30,3,
2,77,64,30,3,
2,77,64,31,3,
2,77,64,32,3,
1,78,64,16,3,
2,78,64,17,3,
2,81,65,24,2,
2,81,65,26,2,0
2,81,65,29,2,0
2,81,65,31,2,0
2,82,65,25,2,
2,82,65,26,2,0
2,82,65,27,2,0
2,82,65,28,2,0
2,82,65,29,2,0
